Company,Symbol,Market_Cap,Total_Debt,Total_Asset,Cash_Flow,Cash_to_Market,Pomoters_Stake_Pledged,Net_Profit,Sector
Alembic Pharma,APLLTD,11799.21,0.0,1530.28,284.81,2.4138056700406216,False,137.83,Pharmaceuticals
Apollo Hospital,APOLLOHOSP,16167.73,2101.96,5532.09,255.76,1.5819165708482268,False,72.83,Hospitals & Medical Services
Apollo Tyres,APOLLOTYRE,10620.8,586.3,4582.72,285.14,2.68473184694185,False,185.46,Tyres
Aptech,APTECHT,917.75,0.0,215.96,6.49,0.7071642604195042,False,3.07,Computers - Software - Training
Archidply Ind,ARCHIDPLY,156.0,45.54,168.9,8.04,5.153846153846153,False,2.02,Miscellaneous
Archies,ARCHIES,78.37,14.19,124.91,2.85,3.6365956360852363,False,0.14,Printing & Stationery
Arcotech,ARCOTECH,1101.45,291.55,491.03,21.88,1.9864723773208044,False,7.81,Miscellaneous
Aries Agro,ARIES,201.18,119.85,259.02,9.17,4.558107167710508,False,5.58,Miscellaneous
Arihant Found,ARIHANT,42.48,123.07,285.0,5.26,12.382297551789078,False,0.27,Construction & Contracting - Housing
Arihant Super,ARIHANTSUP,489.39,29.8,114.5,-0.94,-0.19207584952696213,False,3.1,Finance - Investments
Arman Financial,ARMANFIN,129.49,32.18,67.84,0.0,0.0,False,0.59,Finance - Leasing & Hire Purchase
Arrow Greentech,ARROWGREEN,492.02,0.0,27.48,5.52,1.1219056135929435,False,1.76,Plastics
Arrow Textiles,ARROWTEX,83.7,4.42,37.74,0.07,0.08363201911589009,False,0.37,Textiles - Weaving
Arshiya,ARSHIYA,1037.03,316.76,547.02,3.96,0.38185973404819534,False,-31.64,Transport & Logistics
ARSS Infra,ARSSINFRA,101.82,1677.85,2059.96,76.0,74.6415242584954,False,-206.91,Construction & Contracting - Civil
Art Nirman,ARTNIRMAN,1.0,0.0,0.0,0.0,0.0,True,0.0,Construction & Contracting - Civil
Arvind,ARVIND,10174.18,2657.29,5671.77,16.59,0.16305982398581506,False,71.65,Textiles - Denim
Asahi India,ASAHIINDIA,5275.05,1050.37,1444.48,36.65,0.6947801442640353,False,25.87,Glass & Glass Products
Asahi Songwon,ASAHISONG,342.58,42.66,178.67,0.81,0.23644112324128672,False,6.49,Dyes & Pigments
Auto Stampings,ASAL,115.81,70.79,92.88,2.46,2.1241688973318364,False,5.92,Auto Ancillaries
Ashiana Housing,ASHIANA,2329.53,67.59,713.62,90.55,3.887050177503616,False,15.55,Construction & Contracting - Housing
Ashima,ASHIMASYN,185.62,155.79,174.95,1.71,0.921236935675035,False,24.58,Textiles - Spinning - Cotton Blended
Ashoka Buildcon,ASHOKA,3626.01,270.2,1950.0,22.58,0.6227230481989845,False,42.7,Construction & Contracting - Civil
Asian Hotels,ASIANHOTNR,214.18,910.86,1646.72,9.68,4.51956298440564,False,-6.63,Hotels
Aspinwall,ASPINWALL,1.0,0.0,0.0,3.82,0.0,True,0.0,Miscellaneous
Assam Company,ASSAMCO,244.4,354.56,655.79,8.85,3.621112929623568,False,-16.38,Plantations - Tea & Coffee
Astec Life,ASTEC,1176.08,116.53,233.6,2.25,0.191313516087341,False,0.7,Pharmaceuticals
Astral Poly Tec,ASTRAL,6557.22,119.75,858.71,45.61,0.6955691588813552,False,24.72,Plastics
Astra Microwave,ASTRAMICRO,965.29,55.47,453.05,63.77,6.6063048410322285,False,12.76,Telecommunications - Equipment
AstraZeneca,ASTRAZEN,2351.75,0.0,156.01,76.2,3.2401403210375253,False,15.96,Pharmaceuticals
Agro Tech Foods,ATFL,1321.91,95.65,432.43,1.52,0.11498513514535785,False,8.27,Edible Oils & Solvent Extraction
Atlanta,ATLANTA,659.34,194.86,574.12,5.97,0.9054509054509055,False,20.4,Construction & Contracting - Civil
Atlas Cycles,ATLASCYCLE,135.57,60.56,154.57,2.18,1.608025374345357,False,-2.99,Miscellaneous
Atul,ATUL,7063.65,268.86,1519.75,3.4,0.04813375521154078,False,58.58,Dyes & Pigments
Atul Auto,ATULAUTO,1053.9,0.0,154.59,12.82,1.2164341967928645,False,12.29,Auto - 2 & 3 Wheelers
Aurobindo Pharm,AUROPHARMA,39507.72,2909.33,9719.85,330.81,0.8373300205630697,False,441.02,Pharmaceuticals
Ausom Enterp,AUSOMENT,40.39,16.84,77.87,1.54,3.8128249566724435,False,0.29,Packaging
Austral Coke,AUSTRAL,1.0,0.0,0.0,0.65,0.0,False,0.0,Miscellaneous
Automotive Axle,AUTOAXLES,1078.39,28.84,356.04,0.05,0.004636541510956147,False,10.53,Auto Ancillaries
Autoline Ind,AUTOIND,89.77,184.78,296.73,4.33,4.823437674055921,False,-36.65,Auto Ancillaries
Autolite India,AUTOLITIND,55.87,32.76,70.63,1.42,2.541614462144264,False,0.18,Auto Ancillaries
Avanti Feeds,AVANTIFEED,3366.18,8.46,385.53,69.87,2.0756465786143345,False,38.82,Aquaculture
AVT Natural,AVTNPL,599.24,0.0,209.64,4.2,0.7008877912021895,False,8.16,Edible Oils & Solvent Extraction
Axis Bank,AXISBANK,117445.37,457193.94,525467.61,33325.44,28.375269284774703,False,579.57,Banks - Private Sector
Axis Gold ETF,AXISGOLD,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
AYM Syntex,AYMSYNTEX,312.74,174.91,369.02,38.36,12.265779881051353,False,5.27,Textiles - Processing
Bafna Pharma,BAFNAPHARM,66.95,80.48,139.93,2.7,4.032860343539955,False,-3.44,Pharmaceuticals
BAG Films,BAGFILMS,88.79,95.91,365.12,6.16,6.937718211510305,False,-1.82,Media & Entertainment
Bajaj Auto,BAJAJ-AUTO,81398.94,162.48,12454.14,817.55,1.0043742584362891,False,924.62,Auto - 2 & 3 Wheelers
Bajaj Corp,BAJAJCORP,5799.7,10.0,495.56,2.91,0.050175009052192354,False,57.8,Personal Care
Bajaj Electric,BAJAJELEC,3165.78,196.92,948.41,46.58,1.4713593490387833,False,29.71,Domestic Appliances
Bajaj Finserv,BAJAJFINSV,65049.89,0.0,2695.98,224.29,0.34479689358429355,False,6.32,Finance - Investments
Bajaj Hind,BAJAJHIND,1512.17,6382.43,8741.67,41.17,2.7225774879808484,False,-36.63,Sugar
Bajaj Holdings,BAJAJHLDNG,24428.93,0.0,6798.05,1406.91,5.759196166184929,False,123.97,Finance - Investments
Bajaj Finance,BAJFINANCE,64562.58,37024.7,44451.34,1327.23,2.055726397551027,False,555.65,Finance - Leasing & Hire Purchase
Balaji Telefilm,BALAJITELE,721.72,0.0,612.78,3.85,0.5334478745219753,False,8.05,Media & Entertainment
Balaji Amines,BALAMINES,1221.68,134.07,425.76,8.48,0.6941261214065876,False,19.63,Chemicals
Balkrishna ,BALKRISHNA,87.74,65.37,140.48,3.59,4.091634374287668,False,-9.68,Miscellaneous
Balkrishna Ind,BALKRISIND,13387.22,1288.31,4083.6,302.84,2.2621574905021355,False,185.69,Tyres
Ballarpur Ind,BALLARPUR,1281.55,1626.15,3254.41,58.29,4.548398423783699,False,-49.49,Paper
Balmer Lawrie,BALMLAWRIE,2685.33,0.0,997.33,430.95,16.048306911999642,True,26.08,Packaging
Bal Pharma,BALPHARMA,127.76,66.03,122.71,4.46,3.490920475892298,False,1.52,Pharmaceuticals
Balrampur Chini,BALRAMCHIN,3418.23,1500.94,2731.54,4.67,0.1366204146590487,False,175.2,Sugar
Banaras Beads,BANARBEADS,50.44,5.09,47.27,10.53,20.876288659793815,False,0.54,Miscellaneous
Bannariamman,BANARISUG,2219.36,1389.77,2310.38,20.47,0.9223379713070434,False,48.54,Sugar
Banco Products,BANCOINDIA,1598.08,1.94,455.93,73.26,4.584251101321587,False,21.49,Auto Ancillaries
Bang Overseas,BANG,61.02,40.05,100.1,10.65,17.45329400196657,False,2.21,Textiles - General
Bank of Baroda,BANKBARODA,39959.23,607509.57,671376.48,133900.35,335.09241794699244,False,252.67,Banks - Public Sector
BANK BEES,BANKBEES,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
Bank of India,BANKINDIA,14702.45,564087.66,609913.93,99141.3,674.3182258739189,False,101.72,Banks - Public Sector
Banswara Syntex,BANSWRAS,272.56,497.08,746.25,20.85,7.6496918109774,False,4.23,Textiles - Spinning - Synthetic Blended
Bartronics,BARTRONICS,47.67,239.64,389.21,4.96,10.40486679253199,False,-6.41,Miscellaneous
BASF,BASF,5905.68,1349.22,2510.52,3.11,0.05266116687663402,False,-47.22,Chemicals
Bannari A Spg,BASML,551.4,413.62,683.37,9.91,1.7972433804860357,False,4.74,Textiles - General
Bata India,BATAINDIA,7293.3,0.0,1183.04,90.05,1.2346948569234777,False,37.71,Leather Products
Bharat Bijlee,BBL,517.12,168.72,441.27,2.67,0.5163211633663366,False,4.28,Electric Equipment
Bombay Burmah,BBTC,5971.08,301.75,517.99,6.1,0.10215907340045687,False,5.38,Plantations - Tea & Coffee
Beardsell,BEARDSELL,201.38,27.93,63.08,2.2,1.092462012116397,False,1.64,Miscellaneous
Bedmutha Ind,BEDMUTHA,69.42,323.67,416.67,17.11,24.647075770671275,False,-15.37,Steel - Medium / Small
Bharat Elec,BEL,34922.77,6.25,8740.08,2483.39,7.111091130514562,False,373.54,Electricals
BEML,BEML,5666.57,508.08,2617.43,65.56,1.1569609128626313,False,21.74,Infrastructure - General
Bhansali Eng,BEPL,577.35,31.53,159.17,0.27,0.04676539360872954,False,3.06,Petrochemicals
BF Investment,BFINVEST,622.08,0.0,704.75,0.28,0.045010288065843625,False,-0.93,Finance - Investments
Bharatiya Glob,BGLOBAL,18.0,2.84,94.0,0.64,3.5555555555555554,False,0.15,Miscellaneous
BGR Energy,BGRENERGY,995.83,2248.49,3625.76,83.42,8.376931805629475,False,10.2,Infrastructure - General
Bhageria Indu,BHAGERIA,506.43,11.49,89.01,8.76,1.7297553462472601,False,6.31,Dyes & Pigments
Bharat Fin,BHARATFIN,11136.64,2913.05,4296.05,1660.32,14.908625941037872,False,142.82,Finance - General
Bharat Forge,BHARATFORG,24237.36,1461.45,5101.89,296.75,1.2243495166140206,False,128.62,Castings & Forgings
Bharat Gears,BHARATGEAR,90.69,77.22,148.11,0.68,0.7498070349542397,False,0.5,Auto Ancillaries
Bharati Def,BHARATIDIL,51.89,188.68,-2776.65,54.7,105.41530159953749,False,-68.3,Shipping
Bharat Wire Rop,BHARATWIRE,435.36,195.24,333.52,72.0,16.5380374862183,False,0.42,Engineering
Bharti Airtel,BHARTIARTL,139889.02,42400.1,126846.9,52.1,0.03724380941406266,False,421.8,Telecommunications - Service
BHEL,BHEL,39920.36,126.29,33179.64,10085.99,25.265278168834147,False,93.54,Infrastructure - General
Bigbloc Constru,BIGBLOC,97.33,23.93,44.84,0.74,0.7603000102743245,False,0.58,Construction & Contracting - Civil
Bhartiya Inter,BIL,628.14,215.23,413.42,13.38,2.130098385710192,False,4.03,Leather Products
Bilpower,BILPOWER,2.79,180.06,56.26,0.32,11.469534050179211,False,1.86,Metals - Non Ferrous
Binani Ind,BINANIIND,228.19,1676.0,4206.57,14.49,6.349971514965599,False,0.55,Glass & Glass Products
Oswal ChemandFe,BINDALAGRO,1.0,0.0,0.0,2.0,0.0,True,0.0,Fertilisers
Biocon,BIOCON,22670.0,362.0,3650.5,286.0,1.2615791795324216,False,104.1,Pharmaceuticals
Birla Cable,BIRLACABLE,117.15,63.5,155.21,8.3,7.084933845497226,False,-0.63,Cables - Telephone
Birla Corp,BIRLACORPN,5659.89,937.67,3646.91,106.85,1.887845876863331,False,2.09,Cement - Major
Aditya Birla,BIRLAMONEY,175.9,74.75,111.91,8.97,5.099488345650938,False,2.76,Finance - General
BLB,BLBLIMITED,39.65,15.97,115.65,24.98,63.00126103404792,False,1.45,Finance - Investments
Bliss GVS,BLISSGVS,1823.63,61.79,493.87,12.95,0.7101221190702061,False,16.24,Miscellaneous
BL Kashyap,BLKASHYAP,436.56,555.27,987.53,8.62,1.9745281290086125,False,1.16,Construction & Contracting - Civil
BLS Internation,BLS,1751.9,1.23,15.51,1.82,0.10388720817398253,False,0.99,Miscellaneous
Blue Blends,BLUEBLENDS,92.67,37.5,105.9,8.21,8.859393546994713,False,1.51,Textiles - Processing
Blue Chip,BLUECHIP,1.83,0.0,1.34,0.04,2.1857923497267757,False,-0.07,Finance - Investments
Blue Coast,BLUECOAST,165.73,10.21,122.86,1.43,0.8628492125746697,False,6.79,Hotels
Blue Dart,BLUEDART,12331.41,332.19,733.29,286.2,2.3209024758725887,False,28.17,Couriers
Blue Star,BLUESTARCO,6617.89,285.67,1131.96,42.46,0.641594224140927,False,9.43,Consumer Goods - White Goods
Bodal Chemicals,BODALCHEM,1748.45,142.9,382.45,0.45,0.02573708141496754,False,31.56,Dyes & Pigments
Bombay Dyeing,BOMDYEING,1714.24,2039.14,3351.26,18.75,1.0937791674444652,False,-52.97,Diversified
Bosch,BOSCHLTD,69521.97,19.1,8307.9,98.5,0.14168183093775968,False,218.19,Auto Ancillaries
BPCL,BPCL,93849.1,13709.65,40868.34,1719.86,1.8325801739174907,False,2271.94,Refineries
BPL,BPL,358.82,6.52,245.72,2.7,0.7524664177024692,False,0.2,Consumer Goods - Electronic
Bombay Rayon,BRFL,2329.58,5291.83,8007.87,84.1,3.610092806428627,False,-45.68,Textiles - General
Brigade Ent,BRIGADE,2658.51,978.07,2421.84,30.31,1.140112318554378,False,34.31,Construction & Contracting - Real Estate
Britannia,BRITANNIA,40595.08,3.35,1703.51,7.65,0.018844648169187003,False,210.76,Food Processing
Brooks Labs,BROOKS,219.97,5.63,127.69,0.37,0.16820475519389008,False,0.48,Pharmaceuticals
BSE Limited,BSE,1.0,0.0,0.0,2.13,0.0,True,0.0,Miscellaneous
BSEL Infra,BSELINFRA,43.54,0.0,513.96,21.55,49.49471750114837,False,1.78,Construction & Contracting - Housing
BSL,BSL,74.72,118.39,191.67,0.42,0.5620985010706638,False,1.08,Textiles - Weaving
Birla Gold ETF,BSLGOLDETF,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
Birla Nifty ETF,BSLNIFTY,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
Burnpur Cement,BURNPUR,94.82,235.09,338.94,4.96,5.230963931659987,False,-6.84,Cement - Major
Butterfly,BUTTERFLY,318.26,192.27,427.64,13.37,4.200967762207001,False,-25.98,Domestic Appliances
Barak Vally Cem,BVCL,61.05,39.22,122.63,2.24,3.6691236691236697,False,1.32,Cement - Major
The Byke Hosp,BYKE,744.22,8.24,129.41,2.87,0.3856386552363548,False,10.6,Finance - General
Cadila Health,CADILAHC,45377.39,1034.3,7171.7,263.3,0.5802449193309708,False,53.9,Pharmaceuticals
Cairn India,CAIRN,57280.35,0.0,37258.84,1238.0,2.161299642896735,False,384.42,Oil Drilling And Exploration
Camlin Fine,CAMLINFINE,923.13,145.76,266.73,2.42,0.26215159295007207,False,0.1,Chemicals
Canara Bank,CANBK,18097.89,506664.88,552960.77,56733.66,313.4821794142853,False,321.88,Banks - Public Sector
C & C Construct,CANDC,89.19,1011.34,1118.23,60.44,67.76544455656465,False,10.21,Construction & Contracting - Civil
Can Fin Homes,CANFINHOME,5612.54,8625.06,9503.59,3.3,0.0587969083516554,False,59.6,Finance - Housing
Cantabil Retail,CANTABIL,125.07,33.4,110.9,1.05,0.8395298632765652,False,3.35,Retail
Capital First,CAPF,7631.07,8646.65,10306.4,943.26,12.360782957042721,False,55.73,Finance - General
Caplin Labs,CAPLIPOINT,2931.34,0.73,128.85,64.77,2.2095696848540256,False,17.7,Pharmaceuticals
Capital Trust,CAPTRUST,734.55,43.15,204.05,78.72,10.71676536655095,False,9.37,Finance - Leasing & Hire Purchase
Carborundum,CARBORUNIV,5489.27,58.5,1005.51,8.44,0.15375450651908176,False,23.84,Abrasives
Career Point,CAREERP,195.56,14.13,360.86,0.92,0.470443853548783,False,4.82,Computers - Software - Training
CARE,CARERATING,4880.8,0.0,408.25,11.76,0.24094410752335682,True,45.16,Miscellaneous
Castex Tech,CASTEXTECH,302.88,4812.25,7614.07,34.56,11.410459587955627,False,-132.68,Auto Ancillaries
Castrol,CASTROLIND,21419.45,0.0,575.61,696.5,3.251717481074444,False,155.8,Lubricants
CCCL,CCCL,152.23,1120.41,1221.83,19.91,13.078893779149972,False,-28.83,Construction & Contracting - Civil
Country Club,CCHHL,197.79,293.35,973.18,10.76,5.440113251428283,False,-3.3,Hotels
CCL Products,CCL,4542.9,114.47,561.18,3.85,0.08474762816702988,False,37.9,Plantations - Tea & Coffee
Ceat,CEATLTD,5356.2,611.88,2603.13,56.67,1.05802621261342,False,94.18,Tyres
Commercial Eng,CEBBCO,71.98,101.27,113.13,2.52,3.500972492358988,False,-7.67,Engineering
Celebrity Fash,CELEBRITY,67.16,67.66,90.04,1.91,2.8439547349612866,False,1.18,Textiles - Readymade Apparels
Celestial Bio,CELESTIAL,58.16,8.25,103.77,0.92,1.5818431911966988,False,0.7,Pharmaceuticals
Century Enka,CENTENKA,933.89,55.34,811.22,4.75,0.5086252128194969,False,26.16,Textiles - Manmade
Century Extr,CENTEXT,43.6,33.46,71.44,0.89,2.041284403669725,False,0.29,Aluminium
Central Bank,CENTRALBK,20143.99,275392.08,305466.11,15541.05,77.14980994331312,False,-605.7,Banks - Public Sector
Centum Electron,CENTUM,739.34,69.97,230.75,39.2,5.302026131414506,False,7.09,Electricals
CenturyPlyboard,CENTURYPLY,5745.65,405.04,933.92,19.04,0.33138113181276274,False,37.31,Miscellaneous
Century,CENTURYTEX,11764.91,4715.21,6921.97,54.49,0.4631569642266707,False,13.89,Diversified
Cerebra Int,CEREBRAINT,422.01,13.38,153.0,69.48,16.464064832586907,False,3.11,Computers - Hardware
Capri Global,CGCL,979.77,113.25,1199.27,16.44,1.6779448237851744,False,12.7,Finance - General
CG Power ,CGPOWER,4863.55,527.13,4655.18,510.55,10.497476123407798,False,42.43,Electric Equipment
Chambal Fert,CHAMBLFERT,3602.28,4483.5,6806.85,26.47,0.7348123965932687,False,130.18,Fertilisers
Chemfab Alkalie,CHEMFALKAL,265.11,2.3,139.17,1.43,0.5393987401456,False,5.63,Chemicals
Chennai Petro,CHENNPETRO,5401.76,3560.48,6857.15,38.86,0.7193951600959687,False,291.09,Refineries
Cholamandalam,CHOLAFIN,15079.66,22576.22,26233.62,266.16,1.7650265324284502,False,162.52,Finance - Leasing & Hire Purchase
Chromatic India,CHROMATIC,19.82,5.68,353.83,2.27,11.453077699293642,False,0.01,Dyes & Pigments
Cimmco,CIMMCO,189.09,48.82,207.44,0.49,0.25913586123010207,False,-1.2,Diversified
Cineline India,CINELINE,202.72,123.93,207.43,1.04,0.5130228887134964,False,1.74,Media & Entertainment
Cinevista,CINEVISTA,33.43,27.76,188.43,0.02,0.05982650314089141,False,0.0,Media & Entertainment
Cipla,CIPLA,47648.86,1131.81,13471.1,53.01,0.11125134997983163,False,341.23,Pharmaceuticals
CL Educate,CLEDUCATE,1.0,0.0,0.0,0.0,0.0,True,0.0,Miscellaneous
Clariant Chem,CLNINDIA,1656.12,0.0,631.56,28.89,1.7444388087819724,False,-0.86,Dyes & Pigments
CMI,CMICABLES,254.47,109.88,188.79,4.98,1.9570086847172556,False,2.7,Cables - Telephone
CIL Nova Petro,CNOVAPETRO,62.33,37.04,95.38,0.15,0.24065458045884808,False,0.49,Textiles - Manmade
